Naziv datoteke;Naziv baze;Naziv stupca;Tip podatka;Logički opis polja;Izvor;Dio središnjeg registra stanovništva
OIB_baza.csv;OIB Sustav;OIB osobe;CHAR(11);OIB osobe;ISPU - podaci o osobnom identifikacijskom broju;Opći
OIB_baza.csv;OIB Sustav;Ime;VARCHAR (150);Ime;ISPU - podaci o osobnom identifikacijskom broju;Opći
OIB_baza.csv;OIB Sustav;Prezime;VARCHAR (150);Prezime;ISPU - podaci o osobnom identifikacijskom broju;Opći
matica_rodjenih.csv;Državne matice - matica rođenih;OIB osobe;CHAR (11);OIB osobe;MPUDT (Ministarstvo pravosuđa, uprave i digitalne transformacije);Opći
matica_rodjenih.csv;Državne matice - matica rođenih;Ime;VARCHAR (150);Ime;MPUDT (Ministarstvo pravosuđa, uprave i digitalne transformacije);Opći
matica_rodjenih.csv;Državne matice - matica rođenih;Prezime;VARGHAR (150);Prezime;MPUDT (Ministarstvo pravosuđa, uprave i digitalne transformacije);Opći
matica_rodjenih.csv;Državne matice - matica rođenih;Spol;CHAR (1);Spol;MPUDT (Ministarstvo pravosuđa, uprave i digitalne transformacije);Opći
matica_rodjenih.csv;Državne matice - matica rođenih;Datum rođenja;DATE;Datum rođenja;MPUDT (Ministarstvo pravosuđa, uprave i digitalne transformacije);Opći
matica_rodjenih.csv;Državne matice - matica rođenih;OIB majke;CHAR (11);OIB majke;MPUDT (Ministarstvo pravosuđa, uprave i digitalne transformacije);Opći
matica_rodjenih.csv;Državne matice - matica rođenih;Ime majke;VARCHAR (150);Ime majke;MPUDT (Ministarstvo pravosuđa, uprave i digitalne transformacije);Opći
matica_rodjenih.csv;Državne matice - matica rođenih;Prezime majke;VARCHAR (150);Prezime majke;MPUDT (Ministarstvo pravosuđa, uprave i digitalne transformacije);Opći
matica_rodjenih.csv;Državne matice - matica rođenih;Rođeno prezime majke;VARCHAR (150);Rođeno prezime majke;MPUDT (Ministarstvo pravosuđa, uprave i digitalne transformacije);Opći
